reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
ざつおん,雑音,ざつおん,雜音、噪音,kanji,400,left,,雑音
じゅわき,受話器,じゅわき,聽筒,kanji,400,right,,受話器
ちょくつう,直通,ちょくつう,直達、中途不停、直通,kanji,400,right,,直通
つうしん,通信,つうしん,自才、通信、通音信、通訊、聯絡,kanji,400,right,,通信
つつみ,包み,つつみ,包袱、包裏,kanji,400,right,,包み
でんちゅう,電柱,でんちゅう,電線桿,kanji,401,left,11,電柱
でんば,電波,でんば,電波,kanji,401,left,12,電波
といあわせ,問い合わせ,といあわせ,詢問、打聽、查詢,kanji,401,left,13,問い合わせ
ないせん,内線,ないせん,内線、電話、内線分機,kanji,401,left,15,内線
ねんがじょう,年賀状,ねんがじょう,賀年卡,kanji,401,left,16,年賀状
はなしちゅう,話し中,はなしちゅう,通話中,kanji,401,left,17,話し中
おしらせ,お知らせ,おしらせ,全通知、訊息,kanji,401,right,02,お知らせ
ごらん,ご覧,ごらん,觀覽、親切的、請看、接,kanji,401,right,04,ご覧
ばしゅう,募集,ばしゅう,募集、任募,kanji,402,left,07,募集
ポスター,ポスター,ぽすたあ,海報、講,katakana,402,left,08,poster
かいせっ,解説,かいせっ,中新、解説群抜,kanji,402,left,,解説
こうひょう,公表,こうひょう,公表,kanji,402,right,,公表
さつえい,撮影,さつえい,包分、攝影、拍照、拍電影,kanji,402,right,,撮影
スピーチ,スピーチ,すぴいち,正式場合的、簡短演説、致詞,katakana,402,right,,speech
そうぞうしい,騒々しい,そうぞうしい,鬧的、喧器的、宣嚷的、社會上,kanji,402,right,,騒々しい
ろんそう,論争,ろんそう,爭論、爭辯、論戰,kanji,403,right,11,論争
およぎ,泳ぎ,およぎ,游泳,kanji,404,left,02,泳ぎ
からて,空手,からて,空手首,kanji,404,left,03,空手
かんとく,監督,かんとく,名-他,kanji,404,left,04,監督
こうせき,功績,こうせき,功績,kanji,404,right,05,功績
スケート,スケート,すけえと,冰鞋、冰刀、溜冰、滑冰,katakana,404,right,,skate
すもう,相撲,すもう,相撲,kanji,404,right,,相撲
てきど,適度,てきど,適度、適當的程度,kanji,404,right,,適度
もぐる,潜る,もぐる,潛入、水中、鑽進、藏入'躲入,kanji,405,left,12,潜る
ランニング,ランニング,らんにんぐ,人賽跑、跑步,katakana,405,left,13,running
アウト,アウト,あうと,外湯、出界、出局,katakana,405,left,01,out
おどりでる,躍り出る,おどりでる,躍出、突然出現,kanji,405,left,04,躍り出る
かいし,開始,かいし,自他、開始,kanji,405,right,05,開始
きょうぎ,競技,きょうぎ,競賽、體育比賽,kanji,405,right,08,競技
けいば,競馬,けいば,賽馬,kanji,405,right,10,競馬
さいちゅう,最中,さいちゅう,動作進行中、最頂點、活動中,kanji,406,left,13,最中
じゃくてん,弱点,じゃくてん,弱点,kanji,406,left,14,弱点
しゅうりょう,終了,しゅうりょう,人名目他、終了、結束、作完、期滿,kanji,406,left,05,終了
しょうはい,騰敗,しょうはい,勝負、勝敗、人,kanji,406,left,07,騰敗
スタンド,スタンド,すたんど,尾名、站立、台、托、架、檯燈、桌燈,katakana,406,right,09,stand
ぜんりょく,全力,ぜんりょく,全力,kanji,406,right,01,全力
たいかい,大会,たいかい,大會、全體會議,kanji,406,right,02,大会
チャンス,チャンス,ちゃんす,機會'、時機、良機,katakana,406,right,05,chance
にゅゆうじょう,入場,にゅゆうじょう,自和、入場,kanji,407,left,24,入場
にゅうじょうけん,入場券,にゅうじょうけん,門票、入場券,kanji,407,left,25,入場券
ねらう,狙う,ねらう,他五、看準、把,kanji,407,left,26,狙う
ひきわけ,引き分け,ひきわけ,比賽、平局、不分勝負,kanji,407,left,27,引き分け
へいかい,閉会,へいかい,閉幕、會議結束,kanji,407,left,28,閉会
めざす,目指す,めざす,指向、以,kanji,407,left,29,目指す
メンバー,メンバー,めんばあ,成員、一份子、體育、隊員,katakana,407,left,30,member
ゆうしょう,優勝,ゆうしょう,優勝,kanji,407,right,31,優勝
かいさん,解散,かいさん,自介、散開、解散、集合等、散人,kanji,407,right,01,解散
グラウンド,グラウンド,ぐらうんど,馬電動場、球場、廣場、操場,katakana,407,right,02,ground
ゴール,ゴール,ごおる,決勝同、終固、球門、多信,katakana,407,right,03,goal
ころがす,転がす,ころがす,滾動、轉動、開動、車、推進、韓責,kanji,408,left,04,転がす
サイン,サイン,さいん,簽名、署名、簽字、記號、暗號,katakana,408,left,05,sign
にげきる,逃げ切る,にげきる,成功地、逃跑,kanji,408,left,09,逃げ切る
のうぅ,能,のうぅ,名葉、能力、能、本領、功数、日,kanji,408,left,09,能
マラソン,マラソン,まらそん,馬拉松長跑,katakana,408,right,,marathon
かいすいよく,海水浴,かいすいよく,海水浴場,kanji,409,left,01,海水浴
かんしょう,鑑賞,かんしょう,鑑賞、欣賞,kanji,409,left,02,鑑賞
キャンプ,キャンプ,きゃんぷ,露管、野管、兵管、軍和営,katakana,409,left,03,camp
ごらく,娯楽,ごらく,娛樂、文娛,kanji,409,left,04,娯楽
とざん,登山,とざん,客-自分、登山、到山上寺廟修行,kanji,409,right,0e,登山
ぼうけん,冒険,ぼうけん,冒險,kanji,409,right,07,冒険
めぐる,巡る,めぐる,"全說人扔""交還、開生擴",kanji,409,right,0m,巡る
レクリエーション,レクリエーション,れくりええしょん,身心、休養、娛樂、消中,katakana,409,right,09,redeation
レジャー,レジャー,れじゃあ,空間、閒暇、休閒時間、休閒時間,katakana,409,right,10,leisure
うらなう,占う,うらなう,較身上占,kanji,410,left,04,占う
くみたてる,組み立てる,くみたてる,国模型組立,kanji,410,left,,組み立てる
じゃんけん,じゃん湖,じゃんけん,靖拳、列拳,kanji,410,right,,じゃん湖
しょうぎ,将棋,しょうぎ,日本象棋、將棋、好,kanji,410,right,,将棋
てじな,手品,てじな,戲法、魔術、騙術、奸計,kanji,410,right,,手品
どうわ,童話,どうわ,童話,kanji,410,right,,童話
なでぞなぞ,謎々,なでぞなぞ,謎語,kanji,410,right,,謎々
えがく,描く,えがく,描繪、以,kanji,411,left,01,描く
えのぐ,絵の具,えのぐ,顏料,kanji,411,left,02,絵の具
かいが,絵画,かいが,全繪畫、畫,kanji,411,left,03,絵画
きざむ,刻む,きざむ,切碎、雕刻、分成段、銘記、牢說,kanji,411,left,04,刻む
げいのう,芸能,げいのう,戲劇、電影、音樂、舞蹈等的總稱,kanji,411,left,05,芸能
しゃせい,写生,しゃせい,名-他分、寫生、速寫、短篇作品、散記,kanji,411,right,07,写生
しゅうじ,習字,しゅうじ,國習字在習,kanji,411,right,08,習字
しょどう,書道,しょどう,書法,kanji,411,right,0y,書道
せいさく,制作,せいさく,創作、藝術品等、製作、作品,kanji,411,right,10,制作
そうさく,創作,そうさく,文持作品、創作、提汗、議育,kanji,411,right,11,創作
そしつ,素質,そしつ,表質、本質、天分、天資,kanji,412,left,12,素質
ちかよる,近寄る,ちかよる,走進、靠近、接近,kanji,412,left,13,近寄る
ちょうこく,彫刻,ちょうこく,字少、雕刻,kanji,412,left,14,彫刻
はいく,俳句,はいく,俳名,kanji,412,left,15,俳句
ぶんげい,文芸,ぶんげい,文藝、學術和藝術、詩、小說、戲,kanji,412,left,16,文芸
オーケストラ,オーケストラ,おおけすとら,管絃樂、團、挙池、挙隊席、還,katakana,412,right,01,orchestra
オルガン,オルガン,おるがん,風琴,katakana,412,right,02,organ
がっしょう,合唱,がっしょう,合唱、一齊唱同聲高呼,kanji,412,right,06,合唱
からから,からから,からから,乾的、硬的東西相碰的聲音,hiragana,413,left,08,からから
がらがら,がらがら,がらがら,形動、手挫鈴玩具、硬物,hiragana,413,left,09,がらがら
コーラス,コーラス,こおらす,合唱、合唱園、合唱曲,katakana,413,left,11,chorus
こてん,古典,こてん,古書、古籍、古典作品,kanji,413,left,12,古典
コンクール,コンクール,こんくうる,競賽會、競演會、會演,katakana,413,left,13,concours
さっきょく,作曲,さっきょく,作曲、譜曲、配曲,kanji,413,right,14,作曲
たいこ,太鼓,たいこ,太鼓,kanji,413,right,15,太鼓
テンボ,テンボ,てんぼ,樂曲的、速度、拍子、局勢、對話,katakana,413,right,16,tempo
どうよう,童謡,どうよう,童謡,kanji,413,right,17,童謡
ひびき,響き,ひびき,聲響、餘音、回音、迥響、震動,kanji,413,right,18,響き
ひびく,響く,ひびく,自五、響、發出聲音、發出回音、震響,kanji,413,right,19,響く
みんよう,民謡,みんよう,人民謠,kanji,414,left,,民謡
リズム,リズム,りずむ,節奏、旋律、格調、格律,katakana,414,left,04,rhythm
あらすじ,粗筋,あらすじ,概略、梗概、概要,kanji,414,left,02,粗筋
かいかい,開会,かいかい,開會,kanji,414,left,,開会
きゃくせき,客席,きゃくせき,觀賞席、宴席、來賓席,kanji,414,right,,客席
けいこ,稽古,けいこ,自他、學問、武鞭等的練習、學習,kanji,414,right,03,稽古
げき,劇,げき,季尾、劇、戯劇、引人注意的事件,kanji,414,right,,劇
けっさく,傑作,けっさく,傑作,kanji,414,right,,傑作
しゅやく,主役,しゅやく,戯劇、主角、事件或工作的、中履,kanji,415,left,12,主役
ステージ,ステージ,すてえじ,舞台、講台、階段、等級、步驟,katakana,415,left,13,stage
びみょう,微妙,びみょう,微妙的,kanji,415,left,17,微妙
プログラム,プログラム,ぷろぐらむ,節目、單、説明書、計書、表,katakana,415,left,18,program
めいさく,名作,めいさく,名作,kanji,415,right,21,名作
ものがたり,物語,ものがたり,安時代後散文式的文學作品、物語,kanji,415,right,22,物語
きゅうげき,急激,きゅうげき,久巡、才,kanji,416,left,,急激
ぐうすう,偶数,ぐうすう,偶數、雙數,kanji,416,right,,偶数
きわめる,極める,きわめる,鑽研到底、達到極限,kanji,416,right,03,極める
しょうしか,少子化,しょうしか,少子化,kanji,416,right,,少子化
たいはん,大半,たいはん,大半、多半、大部分,kanji,417,left,12,大半
たっする,達する,たっする,到達、精通、通過、完成,kanji,417,left,14,達する
たんすう,単数,たんすう,單數、語、單數,kanji,417,left,15,単数
ちょうか,超過,ちょうか,超過,kanji,417,left,16,超過
なかば,半ば,なかば,名到、一半、半數、中間、中央、半途,kanji,417,right,48,半ば
なんびゃく,何百,なんびゃく,何百,kanji,417,right,20,何百
ひとしい,等しい,ひとしい,性質、ヽ数量、汰態條件等、相等的,kanji,417,right,22,等しい
ひとすじ,一筋,ひとすじ,一筋,kanji,417,right,23,一筋
ひととおり,一通り,ひととおり,太概、大略、下接否定、普通、一般,kanji,418,left,04,一通り
ふくすう,複数,ふくすう,複数、生,kanji,418,left,27,複数
ほぼ,略・粗,ほぼ,大約、大致、大概、李,kanji,418,left,28,略・粗
まいすう,枚数,まいすう,版等薄物、張数、件数,kanji,418,left,02,枚数
まれ,稀,まれ,稀少、稀奇、希室,kanji,418,left,00,稀
メーター,メーター,めえたあ,公尺、儀表、測量器、數,katakana,418,right,,meter
めやす,目安,めやす,大致的、目標、大致的推測、基準,kanji,418,right,,目安
よび,予備,よび,預備、準備,kanji,418,right,,予備
かげん,加減,かげん,加法與減法、調整、斟酌、程度,kanji,419,left,03,加減
げきぞう,激増,げきぞう,激増、劇増,kanji,419,left,06,激増
ぞうげん,増減,ぞうげん,自他、増減、増加,kanji,419,right,09,増減
とうけい,統計,とうけい,統計,kanji,419,right,40,統計
ぴたり,ぴたり,ぴたり,突然停止、緊貼地、緊緊地、正好,hiragana,419,right,01,ぴたり
ほうていしき,方程式,ほうていしき,數學、方程式,kanji,419,right,12,方程式
まし,まし,まし,名馬、增、增加、勝過、強,hiragana,419,right,13,まし
りつ,率,りつ,率比率、成敷、有力或報酬等的,kanji,420,left,14,率
いってい,一定,いってい,自他、一定、規定、固定,kanji,420,right,06,一定
うんと,うんと,うんと,大大地、用力、使勁地,hiragana,420,right,07,うんと
おお,大,おお,形狀數量、大、多、程度、非常,kanji,420,right,08,大
おおいに,大いに,おおいに,大大地、非常地,kanji,420,right,,大いに
おもに,主に,おもに,主要、重要、韓、大部分、多半,kanji,421,left,10,主に
かはんすう,過半数,かはんすう,過半數、半數以上,kanji,421,left,11,過半数
きょだい,巨大,きょだい,巨大、雄偉,kanji,421,left,12,巨大
げんど,限度,げんど,限度、界限,kanji,421,left,13,限度
たしょう,多少,たしょう,多少,kanji,421,left,15,多少
たりょう,多量,たりょう,名'形動、大量、和,kanji,421,right,17,多量
たる,足る,たる,足夠、充足、值得、滿足,kanji,421,right,48,足る
ていいん,定員,ていいん,機開、團體的、編制的名額、車輛的,kanji,421,right,21,定員
どっと,どっと,どっと,許多人、一齊、突然發聲、哄堂、人,hiragana,421,right,22,どっと
ばくだい,英大,ばくだい,人其大損失被,kanji,422,left,,英大
ぶんりょう,分量,ぶんりょう,分量,kanji,422,left,25,分量
ほうだい,膨大,ほうだい,鷹大的、膝腫的、膨用,kanji,422,left,02,膨大
ほうふ,豊富,ほうふ,豐富,kanji,422,left,27,豊富
みまん,未満,みまん,未満、不足,kanji,422,left,,未満
ゆいいつ,唯一,ゆいいつ,唯一,kanji,422,left,09,唯一
よぶん,余分,よぶん,剩餘、多餘的、超量的、額外的,kanji,422,right,,余分
おもたい,重たい,おもたい,份量、重的、沉的、心情沉重,kanji,422,right,,重たい
じゅうりょう,重量,じゅうりょう,重量,kanji,423,left,05,重量
すいちょく,垂直,すいちょく,形動、數、垂直、與地心、垂直,kanji,423,left,07,垂直
すんぼう,寸法,すんぼう,長短、尺寸、預定的、計書、順序,kanji,423,left,08,寸法
そくりょう,測量,そくりょう,測量、測繪,kanji,423,left,09,測量
だいしょう,大小,だいしょう,尺寸、大小、大和小,kanji,423,right,01,大小
たいせき,体積,たいせき,體積、容積,kanji,423,right,12,体積
ちょっけい,直径,ちょっけい,頁符,kanji,424,left,16,直径
とうぶん,等分,とうぶん,等分、均分、相等的份量,kanji,424,left,17,等分
はんけい,半径,はんけい,會半徑,kanji,424,left,08,半径
ようせき,容策,ようせき,會容積、容量、體生,kanji,424,left,20,容策
リットル,リットル,りっとる,公弁,katakana,424,left,21,liter
こんかい,今回,こんかい,這回、這次、此番,kanji,424,right,,今回
じゅんじゅん,順々,じゅんじゅん,逐漸,kanji,425,left,10,順々
じゅんじょ,順序,じゅんじょ,順序違,kanji,425,left,11,順序
ぞくぞく,続々,ぞくぞく,続々,kanji,425,left,13,続々
ばんめ,番目,ばんめ,助數詞用法、計算事物順序的加,kanji,425,right,19,番目
ひっくりかえす,引っくり返す,ひっくりかえす,推倒、弄倒、碰倒、顛倒過來,kanji,425,right,00,引っくり返す
まいど,毎度,まいど,曾經‧常常'屢次、每次,kanji,426,left,,毎度
やたらに,やたらに,やたらに,胡亂的、隨便的、任意的、馬,hiragana,426,left,22,やたらに
あおじろい,青白い,あおじろい,臉色、蒼白的、青白色的,kanji,426,left,00,青白い
かっこ,括弧,かっこ,括號、括起來,kanji,426,left,,括弧
がら,柄,がら,身材、花紋、花樣、性格、人品,kanji,426,right,,柄
きょくせん,曲線,きょくせん,曲線,kanji,426,right,,曲線
ぎん,銀,ぎん,白銀、銀色,kanji,426,right,,銀
グラフ,グラフ,ぐらふ,圖表、圖解、座標圖、畫報,katakana,427,left,11,graph
ずけい,図形,ずけい,圖形、圖樣、數、圖形,kanji,427,left,16,図形
せいほうけい,正方形,せいほうけい,正方形,kanji,427,right,18,正方形
たいかくせん,対角線,たいかくせん,對角線,kanji,427,right,19,対角線
だえん,楕円,だえん,橢圓,kanji,427,right,20,楕円
ちょうほうけい,長方形,ちょうほうけい,長方形、知形,kanji,427,right,21,長方形
ちょっかく,直角,ちょっかく,直角,kanji,427,right,22,直角
でこぼこ,凸凹,でこぼこ,凹凸不平、坑坑宕庭、不平衡,kanji,427,right,23,凸凹
ましかく,真四角,ましかく,正方形、轉,kanji,428,left,26,真四角
まっか,真っ赤,まっか,鮮紅、完全,kanji,428,left,27,真っ赤
まんまるい,真ん丸い,まんまるい,温国、財光光,kanji,428,left,,真ん丸い
もよう,模様,もよう,花紋、圖案、情形、狀況、徵兆'趨勢,kanji,428,left,,模様
よこなが,横長,よこなが,和形動、長方形的、橫寬的、數,kanji,428,right,,横長
よつかど,四つ角,よつかど,十字路口、四個特角,kanji,428,right,02,四つ角
らせん,螺旋,らせん,螺旋状物、螺旋,kanji,428,right,03,螺旋
りょくおうしょく,緑黄色,りょくおうしょく,緑黄色,kanji,428,right,04,緑黄色
がくじゅつ,学術,がくじゅつ,學術,kanji,429,left,03,学術
がくもん,学問,がくもん,學業、學問、科學、學術、見論,kanji,429,left,04,学問
がっかい,学会,がっかい,學會、學社,kanji,429,left,05,学会
きょうよう,教養,きょうよう,教育教養、修養、専業以外的,kanji,429,right,08,教養
じしゅう,自習,じしゅう,自習、自學,kanji,430,left,02,自習
しぜんかがく,自然科学,しぜんかがく,自然科學,kanji,430,left,03,自然科学
じっしゅう,実習,じっしゅう,實習,kanji,430,left,15,実習
しゃかいかがく,社会科学,しゃかいかがく,社會科學,kanji,430,left,07,社会科学
じょうきゅう,上級,じょうきゅう,層次、水平高的、上級、高級、全,kanji,430,right,08,上級
しょきゅう,初級,しょきゅう,初級,kanji,430,right,00,初級
しょほ,初歩,しょほ,初學、初歩、入門,kanji,430,right,01,初歩
じんぶんかがく,人文科学,じんぶんかがく,人文科學、文化科學、哲學、語言學,kanji,430,right,22,人文科学
せんこう,専攻,せんこう,専門研究、専修、専門,kanji,430,right,23,専攻
たいいく,体育,たいいく,體育、體育課,kanji,431,left,24,体育
てつがく,哲学,てつがく,哲學、人生觀、世界觀,kanji,431,left,25,哲学
まなぶ,学ぶ,まなぶ,學習、掌握、體會,kanji,431,left,30,学ぶ
うらぐち,裏ロ,うらぐち,後門、便門、走後門,kanji,431,right,01,裏ロ
がっか,学科,がっか,科系,kanji,431,right,02,学科
キャンパス,キャンパス,きゃんぱす,大學、校園、校內,katakana,431,right,04,campus
こうとう,高等,こうとう,高等、上等、高級,kanji,432,left,00,高等
じつぎ,実技,じつぎ,實際操作,kanji,432,left,00,実技
じゅけん,受験,じゅけん,參加考試、應試、投考,kanji,432,left,,受験
しりつ,私立,しりつ,全私立、私營、元,kanji,432,right,02,私立
しんろ,進路,しんろ,前進的道路,kanji,432,right,03,進路
スクール,スクール,すくうる,學校、學派花式滑冰規定動作,katakana,432,right,05,school
ひきだす,引き出す,ひきだす,抽出、拉出、引誘出、誘騙、從,kanji,432,right,07,引き出す
ふぞく,付属,ふぞく,附屬,kanji,433,left,18,付属
あらわれ,現れ・表れ,あらわれ,的名詞形、表現,kanji,433,left,01,現れ・表れ
あんき,暗記,あんき,丸暗記防,kanji,433,left,02,暗記
いいん,委員,いいん,委員,kanji,433,left,03,委員
うけもつ,受け持つ,うけもつ,他五、擔任、'擔當、掌管,kanji,433,left,05,受け持つ
えんそく,人足,えんそく,名自、遠足、郊遊,kanji,433,right,0e,人足
おうよう,応用,おうよう,名-他、應用、運用,kanji,433,right,08,応用
かいてん,回転,かいてん,名-自、旋轉、轉動、迴轉、轉彎、轉,kanji,433,right,10,回転
がくねん,学年,がくねん,全學年、度、'、年級,kanji,434,left,12,学年
がくりよく,学力,がくりよく,回学力高,kanji,434,left,03,学力
かせん,下線,かせん,下線、字下書的線、底線,kanji,434,left,44,下線
がっきゅう,学級,がっきゅう,班級、學級,kanji,434,left,05,学級
かもく,科目,かもく,科目、項目、學校的、學科、課程,kanji,434,left,07,科目
くみ,組,くみ,班級、黑道、幫、孝,kanji,434,right,09,組
サークル,サークル,さあくる,伙伴、小組、周圍、範圍,katakana,434,right,01,circle
さいてん,採点,さいてん,評分數,kanji,434,right,02,採点
さわがしい,騒がしい,さわがしい,吵鬧的、吵雜的、喧剛的、社會奥論,kanji,434,right,03,騒がしい
しいんと,しいんと,しいんと,安靜、'、嘲靜'平靜、和寂靜,hiragana,434,right,04,しいんと
じかんわり,時間割,じかんわり,時間表,kanji,435,left,25,時間割
しゅうかい,集会,しゅうかい,集會,kanji,435,left,26,集会
しゅうごう,集合,しゅうごう,自他、集合、群購、集群、敷、集合,kanji,435,left,27,集合
しゅうだん,集団,しゅうだん,集體、集團,kanji,435,left,28,集団
せいしょよ,清書,せいしょよ,清書,kanji,435,left,30,清書
せいせき,成績,せいせき,成績、效果、成果,kanji,435,right,31,成績
ゼミ,ゼミ,ぜみ,跟著大學裡教授的指導、課堂討論,katakana,435,right,32,seminar
そつぎょうしょうしょ,業誠,そつぎょうしょうしょ,畢業證書,kanji,435,right,35,業誠
ちゅうたい,中退,ちゅうたい,正大学中退,kanji,436,left,37,中退
つうがく,通学,つうがく,通学,kanji,436,left,03,通学
とうあん,答案,とうあん,會試卷、卷子、生,kanji,436,left,,答案
とうばん,当番,とうばん,富村、人斑、的人,kanji,436,left,,当番
としょしつ,図書室,としょしつ,較覧補,kanji,436,left,02,図書室
パス,パス,ぱす,免票、免費、定期票、月票,katakana,436,right,04,pass
ばつ,ばつ,ばつ,表否定的、叉號,hiragana,436,right,05,ばつ
ひっき,人筆記,ひっき,筆記、記筆記,kanji,436,right,06,人筆記
ひっきしけん,筆記試験,ひっきしけん,筆試,kanji,436,right,07,筆記試験
まんてん,満点,まんてん,満分、最好、完美無鋼、登農洪極,kanji,437,left,49,満点
らん,拉,らん,名'漢千、表格等、欄目、欄杜、書籍,kanji,437,right,52,拉
れいてん,零点,れいてん,零分、毫無價值、不夠格、零度,kanji,437,right,53,零点
ぎしき,儀式,ぎしき,生儀式、典禮、和,kanji,438,left,01,儀式
きねん,記念,きねん,紀念,kanji,438,left,03,記念
きねんしゃしん,記念写真,きねんしゃしん,紀念照,kanji,438,left,04,記念写真
ぎょうじ,行事,ぎょうじ,按慣例舉行的儀式、活動,kanji,438,left,95,行事
しきたり,しきたり,しきたり,慣例、常規、成規、老規知,hiragana,438,right,05,しきたり
しゅくじつ,祝日,しゅくじつ,政府規定的、節日,kanji,438,right,09,祝日
じんせい,人生,じんせい,人的一生、生涯、人的生活,kanji,438,right,,人生
そんぞく,存続,そんぞく,各自人分、繼續存在'永存、長存,kanji,439,left,12,存続
はなばなしい,華々しい,はなばなしい,華有豪華、輝爆,kanji,439,right,15,華々しい
ぼん,盆,ぼん,名-葉、拖盤、盆子、中元節略語,kanji,439,right,06,盆
めでたい,目出度い,めでたい,可喜可賀、喜慶的、順利、幸運,kanji,439,right,17,目出度い
あらい,粗い,あらい,約大、粗糙,kanji,440,left,02,粗い
かたな,刀,かたな,人刀的總稱,kanji,440,left,00,刀
かみそり,剃刀,かみそり,刺刀、刮蝴刀、頭腦敏銳、的人,kanji,440,right,,剃刀
かんでんち,乾電池,かんでんち,乾電池,kanji,440,right,,乾電池
かんむり,冠,かんむり,汐晃、字頭字蓋、有吾生気,kanji,440,right,,冠
くさり,鎖,くさり,鎖鏈、'、鎖條、連結、聯繫、《喻、段,kanji,441,left,01,鎖
くだ,管,くだ,細長的筒、管,kanji,441,left,12,管
くちべに,口紅,くちべに,口紅、辱上,kanji,441,left,13,口紅
くるむ,包む,くるむ,他五、包、裏,kanji,441,left,14,包む
コード,コード,こおど,軟線,katakana,441,left,15,cord
こうすい,香水,こうすい,香水,kanji,441,left,16,香水
