level,reading,writing,page,column,entry_no,needs_review,review_reason,ocr_headword,ocr_bracket,ocr_context
N2,きゅう,旧,284,left,14,1,duplicate_reading,きゅう,旧,14 | きゅう【旧】                          1 / -和あめ 陳舊;往昔 舊日;舊曆農曆; i(! / 前任者
N2,じき,時期,284,left,01,1,duplicate_reading,じき,時期,、 1 |じき【時期】                | / 。 る時期・時候 : 期間 季節     1 2 / じ き かさ                    5
N2,しばる,縛る,284,right,,1,reading_auto_cleaned,しばる人,縛る,| しばる人【縛る】 / 五) 純・掴・縛 : 拘束・限制 妹捕 / じ かん   しば
N2,ずれる,,285,left,23,1,blank_writing,ずれる,,"23 | ずれる / (自下一) (從原來或正確的位置)錯位 , / 動;離題',背離(主題、正路等)"
N2,そのころ,,285,left,24,1,blank_writing,そのころ,,"24 | そのころ / 起) 當時,那時 / い どうちゅう"
N2,たちまち,,285,left,26,1,blank_writing,たちまち,,"26 | たちまち / 便) 轉眼間 一瞬間 ,很快 ,立刻;忽多 / 突然"
N2,たま,偶,285,left,28,1,duplicate_reading,たま,偶,"28 | たま【偶】 / 遙 偶爾,偶然;難得,少有 / き*うじつ  うれ"
N2,ながびく,長引く,286,left,38,1,reading_auto_cleaned,ながびく人,長引く,"_ 38 | ながびく人【長引く】         1 ( / (唔) 拖長,延長          1"
N2,やがて,,287,left,47,1,blank_writing,やがて,,"47 | やがて / 員 不久,馬上;幾乎,大約 ;歸根究械 / 亦即,就是"
N2,しき,四季,287,right,07,1,duplicate_reading,しき,四季,) | o7 | しき【四季】 / | / :    し き  あじ  中
N2,しゅう,週,287,right,08,1,duplicate_reading,しゅう,週,| os |しゅう【週 / | (・革 星期 ;一圈 / :   せんしゅう    ようつう ひど
N2,じゅう,中,287,right,09,1,duplicate_reading,じゅう,中,1 9 |じゅう【中】 / : (舊)期間 ; 表示整個期間或區域 / :     ねったい ち ほう   いちねんじゅうあつ
N2,站也!,日付,289,right,32,1,unexpected_reading_chars;suspicious_reading,站也!,日付,",i32 |站也! [日付】 / | る)(報紙、新聞上的)日期 / “| 圏日付を入れる。"
N2,譯天亮・1,40 | よなか【夜中,290,left,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,譯天亮・1,40 | よなか【夜中,譯 天亮・             1【 / 40 | よなか【夜中】                  和 / @ 半夜深夜・午夜
N2,いらい,以来,290,right,05,1,duplicate_reading,いらい,以来,"5 | いらい【以来】 / ) 以來,以後 ;今後,將來 / う        い らい        い     つ"
N2,こん,今,291,left,12,1,duplicate_reading,こん,今,12 | こん【今】 / 現在 : 今天 今年 / こんにち   に ほん   ひつよう
N2,ちゅうせい,中世,291,right,19,1,duplicate_reading,ちゅうせい,中世,"| 19 | ちゅうせい【中世】 / i る) (歷史)中世紀,古代與近代之間(在 / ... 日本指鎌倉、室町時代)"
N2,期間期限i,01 |いちじ【一時,292,left,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,期間期限i,。 01 |いちじ【一時,"期間 期限                i【 / 。 01 |いちじ【一時】          征 / 四-表) 某時期 ,一段時間;那時;暫時; ji0"
N2,きげん,期限,292,right,,1,duplicate_reading,きげん,期限,| きげん【期限】 / 期限 / き げん   き
N2,いど,井戸,293,left,02,1,duplicate_reading,いど,井戸,02 | いど【井戸】 / る) 井
N2,之3,別往,294,left,19,1,unexpected_reading_chars;suspicious_reading,之3,別往,19 |之3 [別往】            | / @ 別時
N2,かわら,瓦,294,right,04,1,reading_auto_cleaned,かわら人,瓦,4 | かわら人【瓦】 / ) 過 / かわら  や ね   ふ
N2,扎儿大,煉瓦,295,left,09,1,unexpected_reading_chars;suspicious_reading,扎儿大,煉瓦,"09 |扎儿大【煉瓦】 / @ 磚,紅磚 / れん が     う"
N2,圭杞(A,綺麗.奇麗,295,right,06,1,unexpected_reading_chars;suspicious_reading,圭杞(A,綺麗.奇麗,"| 06 |圭杞(A【綺麗.奇麗】 / | 18 好看 ,美麗;乾淨;完全徹底 ;清白, / i 純潔;正派,公正"
N2,廊才未,袂,296,right,,1,unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,人廊才未,袂,) |人廊才未【袂】 / 隔局 拉門 / ふすま   あ
N2,未大<,跨<,297,left,22,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,未大<,跨<,"22 |未大<【跨<】 / (4五) 跨立,叉開腿站立;跨過,跨志 / しき い"
N2,加已卅,器3,298,left,09,1,unexpected_reading_chars;suspicious_reading,加已卅,器3,"9 |加已卅【器3】                 | / | ( 咬,啃;一知半解                : / き   み                     生"
N2,世衝万寢,獻立,298,right,09,1,unexpected_reading_chars;suspicious_reading,世衝万寢,獻立,9|世衝万寢【獻立】 / 5) 菜單 / こんだて   5そ                                    ド
N2,さっぱり,,299,left,11,1,blank_writing,さっぱり,,"11 |さっぱり         1 / (名・他ヶ) 整潔,俐落,滿濕;)(個性/E / 爽,坦率;(威覺)爽快,病癒'(味道"
N2,しつこい,,299,left,13,1,blank_writing,しつこい,,"13 | しつこい / 蝴 (色香味等)過於濃的,油膩 : 執近 / 糾纏不休"
N2,じょうひん,上品,299,left,16,1,reading_auto_cleaned,じょうひん人,上品,"16 | じょうひん人【上品】 / (名・形動) 高級品 ',上等貨;莊重,高雅 / 優雅"
N2,そのまま,,299,right,09,1,blank_writing,そのまま,,"1 9 |そのまま / | 會 照樣的,按照原樣;(不經過一般順 / i 序、步驟)就那樣,馬上,立刻 ;非當"
N2,よう,酔う,300,right,,1,duplicate_reading,よう,酔う,| よう【酔う】 / 五) 酔 酒酔 : 量(車、船) : (吃魚等) / 4毒;陶醉
N2,おやつ,,301,left,04,1,blank_writing,おやつ,,"04 | おやつ / 包) (特指下午二到四點給兒童吃的)# / 心,零食    人"
N2,食物,,301,left,00,1,blank_writing;unexpected_reading_chars;suspicious_reading,食物,,300 | 食物
N2,放說釣,鱗名. 焙台,302,right,01,1,unexpected_reading_chars;suspicious_reading,放說釣,鱗名. 焙台,1|放說釣【鱗名. 焙台】         lg / jj) 烤;烘乾;取暖                      用
N2,餐廚用具,,303,left,02,1,blank_writing;unexpected_reading_chars;suspicious_reading,餐廚用具,,302 | 餐廚用具
N2,大未,穴,303,right,01,1,unexpected_reading_chars;suspicious_reading,大未,穴,"| 01 |大未【穴】 / . ji @ 窯,爐;鍋爐 / :   かま や"
N2,記已,是,303,right,03,1,unexpected_reading_chars;suspicious_reading,記已,是,"03 |記已[是】 / | @ 匙子,小村子 / さじ"
N2,ゆったり,,306,right,00,1,blank_writing,ゆったり,,0 |ゆったり / 自六 寬敞舒適 / 記ゆったりした服が着たくなる。
N2,たび,足袋,307,right,0y,1,duplicate_reading,たび,足袋,"""oy |たび【足袋】 / i @ 日式白布襪 / :   た び   は"
N2,あびる,浴びる,309,left,01,1,reading_auto_cleaned,あびる人,浴びる,01 | あびる人【浴びる】 / (介上つ洗:浴:旧照:演受'蒙受 / あ
N2,しゃがむ,,309,right,09,1,blank_writing,しゃがむ,,09 | しゃがむ / | 圏しゃがんで小石を捨う。 / i 語蹲下撿小石頭。
N2,ぜんしん,全身,310,left,12,1,duplicate_reading,ぜんしん,全身,12 | ぜんしん【全身】            較 / @ 全身             1 / はうう = ぜんしん 。 ひろ             : |
N2,いき,息,311,left,02,1,duplicate_reading,いき,息,02 | いき【息】 / @) 呼吸 ・ 気息 : 歩調 / 囲息をつく。
N2,臉(0,,311,left,10,1,blank_writing;unexpected_reading_chars;suspicious_reading,臉(0,,310 | 臉(0
N2,くわえる,衡える,311,right,10,1,duplicate_reading,くわえる,衡える,| 10 | くわえる【衡える】 / ... 他つ軌・衡
N2,宅訊立<,吧<,312,left,14,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,宅訊立<,吧<,"14 |宅訊立<【吧<】           | 6 / (至) 低聲自語,小聲說話,耳語    1n / 、。 ぁみもと                    i【"
N2,ばっちり,,313,left,28,1,blank_writing,ばっちり,,"28 | ばっちり / ーー 眼大而水汪汪;睜大眼睛 / 轅目訪!了2五戰世紀工必,"
N2,臉(2,,313,left,12,1,blank_writing;unexpected_reading_chars;suspicious_reading,臉(2,,312 | 臉(2)
N2,ぼんやり,,313,right,32,1,blank_writing,ぼんやり,,"32 | ぼんやり / i (名・副・自サ) 模糊,不清楚;迷糊,傻查 / | 楞;心不在焉;笨蛋,呆子"
N2,すっと,,315,left,13,1,blank_writing,すっと,,"13 | すっと / 動作迅速地,和飛快,輕快;!' / 中)輕鬆,痛快,輕鬆"
N2,ちぎる,,315,left,15,1,blank_writing,ちぎる,,"15 | ちぎる / 撕碎(成小段) : 摘取,揪| / (接動詞連用形後加強語氣)非常,極"
N2,のろのろ,,315,left,17,1,blank_writing,のろのろ,,"17 | のろのろ / (副・自サ) 遲緩,'慢吞吞地 / ある"
N2,手腳,,315,left,14,1,blank_writing;unexpected_reading_chars;suspicious_reading,手腳,,314 | 手腳
N2,もちあげる,持ち上げる,316,right,07,1,reading_auto_cleaned,もちあげる人,持ち上げる,"7 | もちあげる人【持ち上げる】 / 下二) (用手)舉起,抬起;阿誤奉承, N2 / 捧;拍豆              回"
N2,ゆっくり,,316,right,03,1,blank_writing,ゆっくり,,"3 | ゆっくり / 店 慢慢地,不著急的,從容地; / 適的,舒適的;充分的,充裕的"
N2,せい,生,317,right,06,1,duplicate_reading,せい,生,"| 06 | せい【生】 / (名匠) 生命 ,生活;生業 '營生;出生, / i 生長;活著',生存"
N2,しわ,,318,left,08,1,blank_writing,しわ,,"08 | しわ                    | / 、 る (皮膚的)徐紋; (紙或布的)纖折,摺子 | / 図しわが増える。"
N2,いけない,,319,left,02,1,blank_writing,いけない,,"o2 | いけない             1 / 形-W庫) 不好,糟糕;沒希革不行, / 能喝酒 ,不能喝酒的人, 不許・ 不可"
N2,こんなに,,319,left,04,1,blank_writing,こんなに,,"o4 | こんなに / 仙) 這樣,如此 / おお"
N2,きる,切る,320,right,08,1,duplicate_reading,きる,切る,8 | きる 【切る】                   名 / 尾) (接助語      ク) 表示         ;      ー / とこ 司運用形) 表示達到極限 y
N2,すっきり,,320,right,02,1,blank_writing,すっきり,,"2 |すっきり / 中) 条幅 ・坦快 輕鬆;流暢,通暢; / :淨整潔,俐落"
N2,痛疼,,321,left,20,1,blank_writing;unexpected_reading_chars;suspicious_reading,痛疼,,320 | 痛疼
N2,がい,害,322,right,02,1,duplicate_reading,がい,害,2 | がい【害】 / 5-江人 為害 ・ 損害 : 災害 妨大 / けんこう がい
N2,せいかつしゅうかんびょう,,323,right,17,1,blank_writing,せいかつしゅうかんびょう,,| 17 | せいかつしゅうかんびょう / :【生活習慣病】 / | 文明病
N2,ていか,低下,324,left,01,1,duplicate_reading,ていか,低下,"1 |ていか【低下】 / @ 和9)降低,低落;(力量、技術等) | / さのう きゅう ていか          :"
N2,でんせん,伝染,324,left,21,1,duplicate_reading,でんせん,伝染,"21 | でんせん【伝染】 / (店め (病菌的)信染 : (惡習的)傳染, ji"
N2,きゅうそく,休上息,324,right,03,1,duplicate_reading,きゅうそく,休上息,3 | きゅうそく【休上息】 / a・自サ) 休息 / きゅうそく    と
N2,XU做,啼,324,right,05,1,unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,XU人做,啼,5|XU人做【啼】 / ) 噴嚏   有 / くしゃみが出る。
N2,身體器官功能,,325,left,24,1,blank_writing;unexpected_reading_chars;suspicious_reading,身體器官功能,,324 | 身體器官功能
N2,はく,吐く,325,right,12,1,duplicate_reading,はく,吐く,| | 12 | はく【吐く】 / i (他五)吐・吐出:説出*吐露出冒出
N2,かげ,影,326,right,05,1,duplicate_reading,かげ,影,5 | かげ【影】 / ) 影子 : 倒影 : 路影 形中 / かげ  うす
N2,たま,玉,327,left,14,1,duplicate_reading,たま,玉,"14 | たま【玉】 / る@ 玉,寶石,珍珠;球,珠;眼鏡鏡上 / 燈泡 ;子彈"
N2,物,,327,left,26,1,blank_writing;unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,人物,,326 | 人物
N2,たいしょう,対象,328,right,07,1,duplicate_reading,たいしょう,対象,7 | たいしょう【対象】 / こ ども   たいしょう / 』 子供を対象とした。
N2,おう,王,329,left,01,1,duplicate_reading,おう,王,01 | おう【王】 / る) 帝王 君王 :國王:首領 大王:(。 / 棋)王將
N2,各種物的稱呼(1,,329,left,28,1,blank_writing;unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,各種人物的稱呼(1,,328 | 各種人物的稱呼(1)
N2,じゅんきょうじゅ,准教#,331,left,29,1,suspicious_writing,じゅんきょうじゅ,准教#,29 | じゅんきょうじゅ【准教# / 多 (大學的)副教授 / じ*んきょうじゅ   し*うにん
N2,各種物的稱呼(2,,331,left,30,1,blank_writing;unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,各種人物的稱呼(2,,330 | 各種人物的稱呼(2)
N2,しょうにん,商人,331,right,31,1,duplicate_reading,しょうにん,商人,| 31 | しょうにん【商人】 / i る) 商人
N2,台LY,著者,332,left,04,1,unexpected_reading_chars;suspicious_reading,台LY,著者,“4 |台LY【著者】       1 / 。 る作者
N2,ふじん,婦人,332,right,,1,duplicate_reading,ふじん,婦人,| ふじん【婦人】 / 婦女 ・ 女子 / ふ じんけいかん あらわ
N2,各種物相關團體的稱呼,,333,left,32,1,blank_writing;unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,各種人物相關團體的稱呼,,332 | 各種人物相關團體的稱呼
N2,ほっそり,,334,right,02,1,blank_writing,ほっそり,,"2 | ほっそり / l・自ず) 纖細,'苗條 / 』体つきがほっそりしている。"
N2,ぽっちゃり,,335,left,13,1,blank_writing,ぽっちゃり,,"13 | ぽっちゃり / 副・自す) 豐滿,胖 / かわい"
N2,尺崗上<,魅力,335,left,17,1,unexpected_reading_chars;suspicious_reading,尺崗上<,魅力,"17 |尺崗上<【魅力】 / 魅力,吸引力 / み りょく"
N2,きげん,機嫌,336,right,,1,duplicate_reading,きげん,機嫌,| きげん【機嫌】 / 心情・ 情緒 / き げん   と
N2,くどい,,337,left,21,1,blank_writing,くどい,,"21 | くどい / 哆 冗長迄味的',(味道)過於膩的 / 表現が くどい。"
N2,たいそう,大層,338,left,36,1,duplicate_reading,たいそう,大層,"36 | たいそう【大層】 / -) 很, 非常,了不起;過份的' |"
N2,にごにご,,339,left,48,1,blank_writing,にごにご,,48 |にごにご / (副・自す) 笑嘻嘻 ・ 笑容満面 / にこにとこする。
N2,にっこり,,339,left,49,1,blank_writing,にっこり,,"49 | にっこり / (画・自サ) 微笑貌,莞爾,嫣然一笑, / 微一笑"
N2,六!2,不潔,339,right,54,1,unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,人六!2,不潔,"| 54 |人六!2【不潔】 / ; (名・形動) 不乾淨,骸髒;(思想)不純潔 / ie 2  ふけつ こころ 。 お"
N2,まごまご,,340,left,00,1,blank_writing,まごまご,,"。 0 |まごまご / 、 中時 不知如何是好,惶張失措,手 i, / 。 忙腳亂 ; 閒蕩,遊蕩,懶散      1("
N2,もともと,,340,left,01,1,blank_writing,もともと,,|  1 | もともと                1 / 名- 奥原來一様・不増不減 従来 ( / |本来・根本            i |
N2,よう,様,340,right,04,1,duplicate_reading,よう,様,"4 | よう【様】 / ・形動) 様子 , 方式 : 風格 : 形状"
N2,際關係(1,,341,left,40,1,blank_writing;unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,人際關係(1,,340 |人際關係(1)
N2,てき,敵,342,right,00,1,duplicate_reading,てき,敵,"0 |てき【敵】 / ・漢造) 敵人,仇敵;(競爭的)對手 / 礎・ 大敵 : 敵翌・英方"
N2,際開係2,,343,left,42,1,blank_writing;unexpected_reading_chars;suspicious_reading;reading_auto_cleaned,人際開係2,,342 | 人際開係2
N2,ばったり,,343,right,27,1,blank_writing,ばったり,,| 27 |ばったり / i 仙) 物體突然倒下(跌落)貌; 突然相手 / | 突然終止貌
N2,みかた,味方,344,left,37,1,duplicate_reading,みかた,味方,"37 | みかた【味方】                 1 / 名・計め 我方,自己的這一方;夥伴  1 / みかた ひ   こ                :"
N2,ゆうこう,友好,344,left,38,1,duplicate_reading,ゆうこう,友好,38 | ゆうこう【友好】       旧 / 友好 / ゆうこう ふか                   5 《
N2,りょう,両,344,right,00,1,duplicate_reading,りょう,両,"0 | りょう【両】 / 暗) 雙,兩 / りょうしゃ   ごう い   ひつよう"
N2,かみ,神,345,left,07,1,duplicate_reading,かみ,神,"07 | かみ【神】 / % 神,神明,上帝,千物主; (死者的)"
N2,せい,精,345,right,11,1,duplicate_reading,せい,精,| 11 | せい【精】 / ... @精・精填 精力 / :   もり せい やど
N2,和(At,箇,346,left,03,1,unexpected_reading_chars;suspicious_reading,和(At,箇,"03 | 和(At【箇】 / 色姪子,外曙              | 課 / お じおい がだがら           :"
N2,しまい,姉妹,346,right,,1,duplicate_reading,しまい,姉妹,| しまい【姉妹】 / 姊妹 / さんにん し まい        えん            いとな
N2,せい,姓,347,left,01,1,duplicate_reading,せい,姓,"1 | せい【姓】 / (名・漢中) 姓氏 族・血族: (日本古代| / 氏族姓,稱號"
N2,夫婦,,347,left,46,1,blank_writing;unexpected_reading_chars;suspicious_reading,夫婦,,346 | 夫婦
N2,ふじん,夫人,348,left,07,1,duplicate_reading,ふじん,夫人,07 | ふじん【夫人】             略 / ふ じんどうはん しゅっせき              # / 圏夫人同伴で出席する。         1 |
N2,だい,代,348,left,03,1,duplicate_reading,だい,代,03 |だい【代】                1 大 / 名-江)代募: 一生・一世:代全 ” ; / だい 。 か                    H
N2,つとめ,務め,348,right,05,1,duplicate_reading,つとめ,務め,5 | つとめ【務め】 / ) 本分 義務 責任          N2 / おや つと     は
N2,選之AU,子孫,349,left,02,1,unexpected_reading_chars;suspicious_reading,選之AU,子孫,02 | 選之AU【子孫】 / る 子孫;後代 / しそん はんえい ねが
N2,一{二寶,翼,351,left,12,1,unexpected_reading_chars;suspicious_reading,一{二寶,翼,"12 | 一{二寶【翼】 / る 翼,怒膀;(和飛機)機翼;(風車)翼4 / 使者,使節"
N2,とる,捕る,351,left,14,1,duplicate_reading,とる,捕る,14 | とる【捕る】 / (4五) 折・ 捕捉・妹捕 / ねずみ   と
N2,ねずみ,,351,right,18,1,blank_writing,ねずみ,,| 18 |ねずみ / (i | 會老鼠 / | 圏ねずみが出る。
N2,埋議,牙,351,right,0z,1,unexpected_reading_chars;suspicious_reading,埋議,牙,"| oz |埋議[牙】 / | 會厂此 ,狡牙 。    了 / |圏ライオンの中が獲物を噛み任..."
N2,U25革,女尾,351,right,08,1,unexpected_reading_chars;suspicious_reading,U25革,女尾,"| os |U25革[女尾】 / | @ 尾巴 ; 末端,末尾 ;尾獎物 / | 圏しっぽを出す。"
N2,孖又名,吠允名,352,right,,1,unexpected_reading_chars;suspicious_reading,孖又名,吠允名,"| 孖又名 【吠允名】 / Fつ) (狗、犬獸等)吠,吼; (人)大聲 / 成・中上"
N2,直下,桃,353,right,00,1,unexpected_reading_chars;suspicious_reading,直下,桃,| 0 |直下【桃】 / i @ 桃子           。 / 団桃のおいしい季節がやってぞ“
N2,しなやか,,354,right,07,1,blank_writing,しなやか,,7 | しなやか / 妥) 柔軟 ・和軟 ; 多多記      : 。N2 / 美・柔和・温楽 mi
N2,から,殻,355,right,04,1,duplicate_reading,から,殻』,| 04 | から【殻』 / i @ 外皮'外殼 / :   から 。 ぬ  、
N2,なる,生る,356,left,12,1,duplicate_reading,なる,生る,"12 |なる【生る】              1 / (主) (植物)結果; 生,產出         1 6 / かき  な                    :"
N2,求<,蔚<,356,right,,1,unexpected_reading_chars;suspicious_reading;suspicious_writing,求<,蔚<,|求<【蔚<】 / や 播種; (在漆器上)畫泥金畫          本 / 才     ま
